,Population,region,pop_dens,hotspot_prop
0,175029,Northern,404.8,0.7677
1,36172,Northern,140.2,0.8387
2,11057,Northern,46.4,0.6774
3,22028,Central,41.5,0.7677
4,26506,Northern,62.3,0.7548
5,17347,Western,72.0,0.6774
6,44150,Coastal,53.6,0.7097
7,17302,Coastal,25.7,0.6516
8,29171,Coastal,33.8,0.8258
9,144821,Coastal,160.8,0.6581
10,271638,Western,410.4,0.8194
11,88398,Western,173.0,0.7484
12,232873,Central,625.1,0.8258
13,81319,Northern,170.9,0.7742
14,10537,Coastal,43.1,0.6774
15,69039,Coastal,133.3,0.7484
16,22400,Eastern,53.5,0.6839
17,162841,Northern,400.2,0.8194
18,77095,Eastern,111.9,0.5484
19,28738,Western,63.2,0.6258
20,13646,Coastal,79.4,0.7871
21,11238,Western,51.6,0.6581
22,99332,Western,214.4,0.8387
23,49795,Coastal,54.0,0.7548
24,102568,Coastal,142.5,0.5677
25,341793,Eastern,512.9,0.8645
26,29385,Coastal,107.3,0.8129
27,37817,Coastal,96.3,0.8774
28,171752,Northern,305.4,0.8323
29,43127,Northern,162.0,0.8258
30,48249,Coastal,59.8,0.7742
31,331347,Eastern,1133.7,0.4968
32,48604,Coastal,96.7,0.7097
33,387703,Northern,938.1,0.8065
34,70655,Eastern,139.4,0.8194
35,233387,Central,640.7,0.8
36,10324,Coastal,30.8,0.6516
37,7935,Western,27.5,0.7935
38,60720,Eastern,114.6,0.7484
39,19978,Coastal,76.7,0.7355
40,545484,Northern,838.0,0.7677
41,47859,Coastal,67.2,0.6645
42,134986,Eastern,224.5,0.7226
43,62831,Western,112.2,0.8258
44,117429,Western,311.8,0.8387
45,20374,Coastal,61.0,0.5355
46,53783,Eastern,133.5,0.8194
47,4595,Coastal,7.5,0.5548
48,192986,Northern,325.0,0.8194
49,41919,Western,87.8,0.8
50,224833,Coastal,272.7,0.8129
51,9076,Coastal,19.5,0.6581
52,64360,Eastern,248.1,0.6129
53,54323,Coastal,138.1,0.6323
54,88742,Central,293.4,0.8387
55,37041,Western,71.8,0.6968
56,21146,Western,47.1,0.7806
57,21503,Coastal,48.3,0.7742
58,44151,Western,101.3,0.6968
59,1128426,Central,2130.4,0.7742
60,14783,Western,67.4,0.7742
61,25485,Eastern,52.4,0.7419
62,102966,Eastern,142.9,0.6516
63,96101,Coastal,175.7,0.5419
64,230423,Coastal,1174.0,0.5419
65,16953,Eastern,32.6,0.5161
66,207928,Coastal,268.4,0.7613
67,148331,Eastern,374.0,0.4903
68,12215,Coastal,36.5,0.6323
69,40966,Coastal,178.8,0.7484
70,62250,Coastal,69.1,0.729
71,13049,Coastal,52.6,0.8194
72,39048,Eastern,99.7,0.6645
73,173536,Coastal,261.0,0.7161
74,19461,Western,81.3,0.7548
75,143325,Northern,184.3,0.7935
76,43006,Eastern,90.7,0.8387
77,115899,Coastal,123.0,0.8
78,90457,Northern,161.0,0.8194
79,148565,Northern,287.1,0.8129
80,63870,Western,114.0,0.8
81,58371,Coastal,62.4,0.7806
82,33662,Eastern,107.1,0.7355
83,62143,Central,158.2,0.8387
84,44422,Northern,99.1,0.8323
85,70573,Northern,134.0,0.8645
86,14046,Western,26.8,0.7032
87,32825,Western,87.2,0.5871
88,3315,Coastal,8.3,0.8
89,244960,Central,376.6,0.8387
90,41665,Eastern,168.7,0.7677
91,1154170,Eastern,1353.3,0.6839
92,18621,Eastern,43.4,0.6452
93,10708,Coastal,31.8,0.6774
94,54804,Northern,173.1,0.6839
95,115895,Coastal,211.8,0.8387
96,65151,Northern,87.5,0.8387
97,79078,Coastal,214.3,0.671
98,36925,Northern,111.1,0.8387
99,18320,Western,59.1,0.8323
